#Pr	nV	dV	nAZ	RRP	totV
0.2244	4	60	9	5	36
0.2123	3	60	7	20	21
0.2767	3	60	17	10	51
0.2077	4	80	17	35	68
0.2333	4	80	29	15	116
0.2282	4	80	27	20	108
0.2078	3	80	27	35	81
0.2002	7	80	7	10	49
0.2081	8	100	7	20	56
0.2101	7	100	7	30	49
0.2058	8	100	19	5	152
0.2047	7	100	29	5	203
0.2304	12	100	7	5	84
0.2339	9	120	9	20	81
0.2061	9	140	9	30	81
0.2014	9	140	19	10	171
0.2038	8	140	17	20	136
0.2183	7	160	19	40	133
0.2005	7	140	27	15	189
0.2216	7	160	27	20	189
0.2067	14	120	7	5	98
0.2572	12	160	7	30	84
0.2021	13	160	17	5	221
0.2605	12	160	27	5	324
0.2223	9	200	19	25	171
0.2122	9	200	17	35	153
0.2034	9	200	29	15	261
0.2042	8	200	29	20	232
0.2143	8	220	27	30	216
0.2015	14	200	7	25	98
0.2043	13	220	9	30	117
0.2061	12	180	17	10	204
0.2104	13	220	29	5	377
